State,County,O3-AQI,CO-AQI,NO2-AQI,SO2-AQI,total
Maryland,Calvert,174643.0,0.0,0.0,0.0,174643.0
North Carolina,Graham,174531.0,0.0,0.0,0.0,174531.0
Wisconsin,Kewaunee,174435.0,0.0,0.0,0.0,174435.0
Kansas,Shawnee,173997.0,0.0,0.0,0.0,173997.0
Connecticut,New London,173985.0,0.0,0.0,0.0,173985.0
Indiana,Delaware,173683.0,0.0,0.0,0.0,173683.0
Wisconsin,Outagamie,164084.0,0.0,0.0,9531.0,173615.0
Virginia,Rockbridge,173536.0,0.0,0.0,0.0,173536.0
Ohio,Morgan,0.0,0.0,0.0,173470.0,173470.0
Virginia,Fauquier,172957.0,0.0,0.0,0.0,172957.0
North Carolina,Franklin,172847.0,0.0,0.0,0.0,172847.0
